key	MAR03989	MAR08581	MAR08591	MAR08592	MAR08580	MAR08582	MAR08587	MAR08589	MAR08584	MAR04303	MAR04415	MAR04416	MAR08764	MAR04087	MAR04089	MAR04091	MAR04046	MAR04406	MAR04518	MAR04519	MAR04520	MAR04646	MAR04648	MAR04649	MAR04650	MAR04808	MAR08755	MAR04034	MAR04194	MAR03831	MAR03890	MAR03892	MAR09802	MAR03903	MAR04196	MAR04197	MAR04690	MAR06780	MAR03816	MAR04776	MAR04777	MAR04787	MAR08416	MAR08426	MAR08607	MAR03883	MAR04198	MAR04284	MAR04467	MAR04788	MAR04789	MAR04791	MAR07703	MAR03747	MAR03744	MAR03777	MAR03778	MAR06923	MAR03765	MAR03940	MAR06768	MAR08539	MAR04302	MAR04323	MAR04324	MAR04328	MAR04329	MAR04174	MAR04300	MAR07301	MAR07302	MAR07303	MAR07304	MAR07305	MAR07306	MAR05258	MAR05259	MAR05260	MAR05261	MAR05262	MAR05263	MAR05264	MAR05265	MAR05266	MAR05267	MAR05268	MAR05269	MAR05270	MAR05271	MAR05272	MAR05273	MAR05274	MAR05275	MAR05276	MAR05277	MAR05278	MAR05279	MAR05280	MAR05281	MAR05282	MAR05283	MAR05284	MAR05285	MAR05286	MAR05287	MAR05288	MAR05289	MAR05290	MAR05291	MAR09817	MAR09818	MAR07706	MAR08779	MAR03540	MAR03544	MAR03545	MAR03548	MAR03551	MAR03555	MAR03559	MAR03566	MAR03569	MAR03570	MAR03572	MAR03586	MAR03686	MAR03690	MAR03691	MAR03694	MAR03697	MAR03701	MAR03705	MAR03712	MAR03715	MAR03716	MAR03718	MAR03732	MAR08238	MAR00622	MAR00648	MAR00649	MAR04260	MAR09481	MAR00012	MAR00685	MAR00686	MAR00687	MAR00689	MAR00690	MAR00691	MAR05257	MAR00021	MAR01649	MAR04413	MAR09931	MAR09943	MAR11305	MAR12140	MAR12993	MAR13078	MAR10064
3402.NoOats	173.43200387045854	-inf	-inf	-inf	-inf	-0.8412759609643388	173.43200387045854	173.43200387045854	-inf	-inf	-inf	-inf	-inf	-2.7147922263986564	-2.7147922263986564	-2.7147922263986564	0.12723070904470282	0.12723070904470282	-76.38246373168232	1.6198320503472592	1.6198320503472592	0.4275834169581788	0.4275834169581788	0.4275834169581788	0.4275834169581788	0.12723070904470282	1.6198320503472592	0.12723070904470282	0.12723070904470282	0.13463088412153207	7.859737696255765	0.12723070904470282	0.12723070904470282	0.12067168137462955	-0.0	-0.0	0.06052861464535204	0.1775112697733869	20.94068269976581	0.13769226029791612	0.13769226029791612	inf	0.20401955613326123	20.94068269976581	0.12723070904470282	-0.172865104833485	-0.0	1.406819602361779	-0.0	-0.37169914756149974	-2.236546245598167	-0.37169914756149974	-38.12437715558452	68.62826834063858	68.62826834063858	0.34895372743948516	0.34895372743948516	0.12247199286829259	0.12247199286829259	2.931400128156925	0.1775112697733869	2.931400128156925	-257.3532409799131	0.0006717036248514837	-0.0	-inf	-inf	-0.21799943892460896	0.12723070904470282	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-38.12437715558452	-0.026229936712645244	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-0.010566627217169267	7.314604845497035	0.13671278505435777	0.12723070904470282	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-0.0	0.13769226029791612	-0.0	-0.0	-inf	1.9614263653246193	-0.0	-inf	-0.0	-0.0
3406.Oats	67.80992559125117	-inf	-inf	-inf	-inf	3.5542102840578362	67.80992559125117	67.80992559125117	-inf	-inf	-inf	-inf	-inf	-0.07404579579237465	-0.07404579579237465	-0.07404579579237465	-0.03185882063949906	-0.03185882063949906	-20.346428304705334	-4.006679911859009	-4.006679911859009	0.18297304197543826	0.18297304197543826	0.18297304197543826	0.18297304197543826	-0.03185882063949906	-4.006679911859009	-0.03185882063949906	-0.03185882063949906	0.011456491695460912	-31.38848142922731	-0.03185882063949906	-0.03185882063949906	-0.19826403915997637	0.0	0.0	25.42995626490649	-0.05652569963231457	13.747207902496628	0.025824965274252033	0.025824965274252033	-inf	4.360888937965281	13.747207902496628	-0.03185882063949906	-0.020157361859329995	-0.0	-2.3167081540733068	-0.0	-1.1369332015947866	-0.8845655401603008	-1.1369332015947866	-167.2974986209386	-0.00580466918873396	-0.00580466918873396	-0.009367284761136636	-0.009367284761136636	-0.005112555966687141	-0.005112555966687141	0.2841139454883731	-0.05652569963231457	0.2841139454883731	0.5161569008415661	-0.03905277993273847	0.0	inf	inf	-0.017528280180228378	-0.03185882063949906	-inf	-inf	-inf	-inf	-inf	-inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-167.2974986209386	-0.0059773756825007435	inf	inf	inf	inf	inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	inf	inf	inf	inf	inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	inf	0.04002019821465455	-3.758194075013603	-0.26608524733954314	-0.03185882063949906	inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	0.0	0.025824965274252033	0.0	0.0	-inf	2.48250663360703	0.0	inf	0.0	0.0
3407.NoOats	3.713763209210732	inf	inf	inf	inf	0.4613931109294689	3.713763209210732	3.713763209210732	inf	inf	inf	-inf	inf	-1.4958864425652996	-1.4958864425652996	-1.4958864425652996	1.5917546061419314	1.5917546061419314	-10.37182616498025	1.1573889919333546	1.1573889919333546	0.07699287298505732	0.07699287298505732	0.07699287298505732	0.07699287298505732	1.5917546061419314	1.1573889919333546	1.5917546061419314	1.5917546061419314	0.0010950233837686806	0.6282375412274028	1.5917546061419314	1.5917546061419314	0.3451274789547896	0.0	0.0	0.16599466858623926	8.023873236382105	-0.35237065479264884	-0.28587998103896767	-0.28587998103896767	inf	0.015801032792196485	-0.35237065479264884	1.5917546061419314	0.01952594027946813	0.0	7.907999324098716	0.0	8.662017809532285	0.11581886737537933	8.662017809532285	3.2445417401042076	2.5997894756252315	2.5997894756252315	1.3023501007923184	1.3023501007923184	1.4544893454984895	1.4544893454984895	-2.5493084051206742	8.023873236382105	-2.5493084051206742	-2.2009557766187173	-0.008871573198742516	0.0	inf	inf	0.2963799671880017	1.5917546061419314	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	3.2445417401042076	0.3082099353629774	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.2723830202773445	0.3693495410095368	2.707462414239685	1.5917546061419314	inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	0.0	-0.28587998103896767	0.0	0.0	inf	-2.1493256752191736	0.0	inf	0.0	0.0
3408.Oats	44.042414198871114	inf	inf	inf	inf	2.7364572086088694	44.042414198871114	44.042414198871114	inf	inf	inf	inf	inf	-0.08631699671094624	-0.08631699671094624	-0.08631699671094624	0.22855280417321922	0.22855280417321922	11.770847999402774	0.2700342936557936	0.2700342936557936	-0.10981113850442725	-0.10981113850442725	-0.10981113850442725	-0.10981113850442725	0.22855280417321922	0.2700342936557936	0.22855280417321922	0.22855280417321922	-0.017541864894299212	4.375356511671169	0.22855280417321922	0.22855280417321922	0.15954164283508554	-0.0	-0.0	1.518237459780579	-0.1695074036609109	-5.036937628375821	2.8737639017231946	2.8737639017231946	-inf	-0.10385242220254084	-5.036937628375821	0.22855280417321922	0.006213025619462439	0.0	1.341782574733036	0.0	-2.030302891598911	-0.4941495928309805	-2.030302891598911	-32.67547535453677	-0.1179471456851971	-0.1179471456851971	-0.11435599566075438	-0.11435599566075438	-0.08878579787913056	-0.08878579787913056	0.588151236571534	-0.1695074036609109	0.588151236571534	0.313361350875699	0.01982703228110272	-0.0	inf	inf	-0.02109610000070173	0.22855280417321922	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-32.67547535453677	-0.030603992417853432	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.1498273413590076	0.202779172099054	4.931472939989704	0.22855280417321922	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.0	2.8737639017231946	0.0	0.0	inf	-0.01142755919761903	0.0	inf	0.0	0.0
3412.Oats	194.5088766358393	inf	inf	inf	inf	16.69582597515651	194.5088766358393	194.5088766358393	inf	inf	inf	inf	inf	0.06057377209367449	0.06057377209367449	0.06057377209367449	-0.1649334142489097	-0.1649334142489097	233.5800416317939	2.5736580706562853	2.5736580706562853	0.030756134558868418	0.030756134558868418	0.030756134558868418	0.030756134558868418	-0.1649334142489097	2.5736580706562853	-0.1649334142489097	-0.1649334142489097	-0.017346894319004692	-6.063052805605826	-0.1649334142489097	-0.1649334142489097	-0.26178504036624495	0.0	0.0	-0.992506329144417	-0.10724164458993489	-13.26203411483355	0.1573421518972987	0.1573421518972987	-inf	-0.7016616467209562	-13.26203411483355	-0.1649334142489097	0.011216534544422584	0.0	2.6757488028698795	0.0	-5.659569314059722	-0.17714355606706622	-5.659569314059722	-25.453361246604693	-0.07253109834882647	-0.07253109834882647	-0.10121080287893396	-0.10121080287893396	-0.06798626739953523	-0.06798626739953523	1.3921889101044242	-0.10724164458993489	1.3921889101044242	0.7929384668939535	0.014145529587383063	-0.0	inf	inf	-0.07608419774171114	-0.1649334142489097	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-25.453361246604693	-0.03928754203861359	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.5243027054898198	0.1336913390784247	7.479916102967522	-0.1649334142489097	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.0	0.1573421518972987	0.0	0.0	inf	2.2773168250447497	0.0	inf	0.0	0.0
3413.NoOats	1.8804501384897945	inf	inf	inf	inf	0.2749586248117226	1.8804501384897945	1.8804501384897945	inf	inf	inf	inf	inf	-0.18868919618059288	-0.18868919618059288	-0.18868919618059288	-2.153812695058688	-2.153812695058688	0.8728584121606506	0.41382619057354686	0.41382619057354686	-0.14424274794424052	-0.14424274794424052	-0.14424274794424052	-0.14424274794424052	-2.153812695058688	0.41382619057354686	-2.153812695058688	-2.153812695058688	-0.013568942313495267	-0.4642929268149529	-2.153812695058688	-2.153812695058688	1.3051789531457703	-0.0	-0.0	0.011164123516403087	0.5934915529465624	-2.2879679495503624	0.07013621883669081	0.07013621883669081	inf	0.000516828836150074	-2.2879679495503624	-2.153812695058688	-0.0021404921395930315	0.0	2.3470334614295716	0.0	1.2875289016928528	0.7759947140476812	1.2875289016928528	59.65159799407814	0.24567605989857466	0.24567605989857466	0.2678061951387593	0.2678061951387593	0.21673600280715002	0.21673600280715002	0.9174504262292996	0.5934915529465624	0.9174504262292996	8.637365619353636	-0.00024781770668557296	0.0	inf	inf	-0.0006496247891362543	-2.153812695058688	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	59.65159799407814	0.016764010246620286	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	1.7006892372765878	-0.01807001085980223	-55.340309851421125	-2.153812695058688	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.0	0.07013621883669081	0.0	0.0	inf	0.5945097862803191	0.0	inf	0.0	0.0
3414.NoOats	15.271978721892841	-inf	-inf	-inf	inf	-1.234498235661563	15.271978721892841	15.271978721892841	-inf	-inf	-inf	-inf	-inf	0.09750263134411219	0.09750263134411219	0.09750263134411219	-3.0642709123522973	-3.0642709123522973	-24.3714464208402	-1.0487713887939125	-1.0487713887939125	0.4908243819459096	0.4908243819459096	0.4908243819459096	0.4908243819459096	-3.0642709123522973	-1.0487713887939125	-3.0642709123522973	-3.0642709123522973	0.032091194342986115	-0.3263419027243733	-3.0642709123522973	-3.0642709123522973	-7.41691811628979	0.0	0.0	-0.20585616804183354	-0.40569969258809485	-2.2744742055565172	-0.2686393077166464	-0.2686393077166464	inf	0.16556415227754243	-2.2744742055565172	-3.0642709123522973	-0.0037918000242223877	0.0	2.874722864587694	0.0	2.0948536222652576	0.4764578013344372	2.0948536222652576	129.58043999885908	-0.1719952620218835	-0.1719952620218835	-0.22753443894911912	-0.22753443894911912	-0.17732287855887288	-0.17732287855887288	0.8257093761118113	-0.40569969258809485	0.8257093761118113	0.2889067333417441	-0.013124650922334563	-0.0	inf	inf	0.160492420535663	-3.0642709123522973	-inf	-inf	-inf	-inf	-inf	-inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	129.58043999885908	0.007717214110469178	inf	inf	inf	inf	inf	-inf	inf	-inf	inf	inf	inf	-inf	inf	inf	inf	inf	inf	-inf	inf	-inf	inf	inf	inf	-inf	inf	0.1317484209448122	0.01408050127796641	71.02019880249789	-3.0642709123522973	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.0	-0.2686393077166464	0.0	0.0	-inf	0.664698044667079	0.0	inf	0.0	0.0
3415.Oats	-1.3782907772138877	inf	inf	inf	-inf	-0.5928541292944634	-1.3782907772138877	-1.3782907772138877	inf	inf	inf	inf	inf	0.003167092384679615	0.003167092384679615	0.003167092384679615	1.2495553837999012	1.2495553837999012	-19.05529733335688	-1.325349212818977	-1.325349212818977	0.7406646845119585	0.7406646845119585	0.7406646845119585	0.7406646845119585	1.2495553837999012	-1.325349212818977	1.2495553837999012	1.2495553837999012	-0.3564807756021732	0.8002846556180626	1.2495553837999012	1.2495553837999012	1.2131874810834624	0.0	0.0	0.0856386283255515	0.6822075011820552	2.445797402481024	-2.174798446005658	-2.174798446005658	inf	0.008835771533809496	2.445797402481024	1.2495553837999012	-0.001354689274306968	0.0	4.8759281383907265	0.0	28.00245219118249	0.03570429289140148	28.00245219118249	2.133804815622824	0.4934869925423955	0.4934869925423955	0.6949000647162508	0.6949000647162508	0.5686819870835401	0.5686819870835401	1.6183163193026049	0.6822075011820552	1.6183163193026049	1.9483168135218392	-0.0006953126231345244	0.0	inf	inf	7.436037015364311	1.2495553837999012	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	2.133804815622824	0.46864642570792764	inf	inf	inf	inf	inf	-inf	inf	inf	inf	inf	inf	-inf	inf	inf	inf	inf	inf	-inf	inf	inf	inf	inf	inf	-inf	-inf	0.29662462672801726	-0.0946124167962254	-10.569437224648672	1.2495553837999012	inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	0.0	-2.174798446005658	0.0	0.0	-inf	1.9454720031768764	0.0	inf	0.0	0.0
3417.Oats	-946.2248629990082	inf	inf	inf	inf	-30.441321664464365	-946.2248629990082	-946.2248629990082	inf	inf	inf	inf	inf	-0.02509051089408503	-0.02509051089408503	-0.02509051089408503	0.37924268971097264	0.37924268971097264	16.280552708587894	1.467930848802378	1.467930848802378	-0.029732248850013146	-0.029732248850013146	-0.029732248850013146	-0.029732248850013146	0.37924268971097264	1.467930848802378	0.37924268971097264	0.37924268971097264	0.028774459249743818	2.636833951267768	0.37924268971097264	0.37924268971097264	10.753601737073447	0.0	0.0	7.04295658990413	0.06668544342499438	-94.22303089445661	7.681157562627596	7.681157562627596	inf	0.6305804408793578	-94.22303089445661	0.37924268971097264	0.0023323459861305414	0.0	1.2621545786705297	0.0	0.9363478358094068	1.0697302852898873	0.9363478358094068	24.06227715073358	0.07935820393278137	0.07935820393278137	0.08340132257352384	0.08340132257352384	0.0629614192791797	0.0629614192791797	1.2766008394158401	0.06668544342499438	1.2766008394158401	0.2279275048639093	0.010232841304181941	0.0	inf	inf	-0.5845227570770718	0.37924268971097264	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	24.06227715073358	0.04155882644587997	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	1.1523146129436186	0.0023838399507396606	419.49124969137245	0.37924268971097264	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.0	7.681157562627596	0.0	0.0	inf	-0.8924234138545223	0.0	inf	0.0	0.0
