Treatment		Almond	Almond	Almond	Avocado	Avocado	Avocado	Barley	Barley	Barley	Broccoli	Broccoli	Broccoli	Oats	Oats	Oats	Walnut	Walnut	Walnut
Metric		Accuracy	AUROC	AUPRC	Accuracy	AUROC	AUPRC	Accuracy	AUROC	AUPRC	Accuracy	AUROC	AUPRC	Accuracy	AUROC	AUPRC	Accuracy	AUROC	AUPRC
Reaction Set	Input Features																		
Reaction-Set-1	Change	0.68	0.79	0.8	0.57	0.54	0.68	0.54	0.58	0.58	0.67	0.59	0.62	0.41	0.44	0.52	0.92	0.93	0.94
Reaction-Set-1	Prob	0.0	0.0	0.33	0.61	0.0	0.43	0.18	0.04	0.33	0.13	0.02	0.33	0.48	0.0	0.34	0.0	0.0	0.33
Reaction-Set-2	Change	0.71	0.78	0.8	0.59	0.61	0.75	0.39	0.28	0.4	0.63	0.62	0.66	0.34	0.33	0.5	0.75	0.85	0.87
Reaction-Set-2	Prob	0.0	0.0	0.33	0.61	0.0	0.45	0.0	0.0	0.35	0.0	0.0	0.34	0.03	0.0	0.37	0.11	0.03	0.33
Reaction-Set-2	Ratio	0.39	0.32	0.41	0.7	0.67	0.71	0.57	0.57	0.61	0.43	0.42	0.49	0.52	0.54	0.64	0.72	0.77	0.75
Reaction-Set-3	Change	0.71	0.74	0.78	0.55	0.54	0.68	0.68	0.59	0.58	0.67	0.69	0.65	0.48	0.45	0.54	0.92	0.94	0.96
Reaction-Set-3	Prob	0.18	0.06	0.34	0.61	0.0	0.44	0.04	0.02	0.33	0.0	0.0	0.34	0.41	0.0	0.35	0.19	0.09	0.33
Reaction-Set-4	Change	0.68	0.77	0.79	0.61	0.58	0.74	0.75	0.64	0.58	0.7	0.77	0.73	0.31	0.29	0.44	0.86	0.87	0.81
Reaction-Set-4	Prob	0.0	0.0	0.34	0.61	0.0	0.43	0.04	0.0	0.33	0.1	0.05	0.34	0.38	0.0	0.35	0.06	0.04	0.33
Reaction-Set-4	Ratio	0.5	0.43	0.46	0.61	0.65	0.76	0.57	0.61	0.55	0.47	0.49	0.54	0.41	0.39	0.55	0.67	0.75	0.71
Reaction-Set-5	Prob	0.04	0.0	0.32	0.61	0.0	0.45	0.11	0.05	0.33	0.13	0.06	0.34	0.24	0.0	0.35	0.19	0.08	0.33
Reaction-Set-6	Prob	0.0	0.0	0.33	0.61	0.0	0.43	0.0	0.0	0.33	0.0	0.0	0.33	0.24	0.12	0.38	0.0	0.0	0.32
Reaction-Set-7	Change	0.71	0.82	0.88	0.55	0.59	0.75	0.32	0.4	0.52	0.67	0.7	0.71	0.34	0.28	0.43	0.89	0.96	0.96
Reaction-Set-7	Prob	0.07	0.02	0.33	0.61	0.0	0.43	0.07	0.01	0.33	0.07	0.02	0.33	0.28	0.0	0.34	0.19	0.06	0.33
Reaction-Set-8	Change	0.68	0.74	0.82	0.52	0.56	0.72	0.61	0.59	0.55	0.73	0.75	0.73	0.48	0.38	0.46	0.86	0.96	0.96
Reaction-Set-8	Prob	0.04	0.0	0.33	0.61	0.0	0.44	0.0	0.0	0.33	0.0	0.0	0.34	0.0	0.0	0.35	0.0	0.0	0.33
Reaction-Set-9	Prob	0.0	0.0	0.35	0.61	0.0	0.44	0.11	0.03	0.33	0.07	0.02	0.33	0.38	0.0	0.35	0.08	0.03	0.33
Baseline (Met-75)	Î”Concentration	0.79	0.81	0.82	0.61	0.56	0.69	0.54	0.57	0.59	0.43	0.45	0.49	0.45	0.45	0.58	0.94	0.98	0.99
